handover_alt_km,handover_vel_ms,rocket_dv_ms,burn_time_s,tw_equiv,apogee_km,max_g,max_q_kPa,tr1_pass,tr2_pass,tr3_pass,all_pass
20,500,1000,40,2.54841997961264,150.1165700000002,3.54841997961264,11.23980331837029,False,True,True,False
20,500,1000,60,1.6989466530750934,150.7150900000002,2.6989466530750934,10.831621780036329,False,True,True,False
20,500,1000,80,1.27420998980632,150.23079000000004,2.27420998980632,10.6646279003284,False,True,True,False
20,500,1200,40,3.058103975535168,150.8410700000001,4.058103975535168,11.77385323760422,False,True,True,False
20,500,1200,60,2.038735983690112,150.41974000000008,3.038735983690112,10.96606947709913,False,True,True,False
20,500,1200,80,1.529051987767584,150.79182000000003,2.529051987767584,10.764682006649824,False,True,True,False
20,500,1500,40,3.8226299694189603,150.59665000000004,4.82262996941896,12.836846887241897,False,True,True,False
20,500,1500,60,2.54841997961264,151.18835000000004,3.54841997961264,11.23980331837029,False,True,True,False
20,500,1500,80,1.9113149847094801,151.41584,2.91131498470948,10.915562874667064,False,True,True,False
20,600,1000,40,2.54841997961264,150.28574000000017,3.54841997961264,15.581636741970797,False,True,True,False
20,600,1000,60,1.6989466530750934,150.63432000000012,2.6989466530750934,15.188844060092977,False,True,True,False
20,600,1000,80,1.27420998980632,150.63265000000004,2.27420998980632,14.994131996521617,False,True,True,False
20,600,1200,40,3.058103975535168,151.23215000000008,4.058103975535168,15.819461590102494,False,True,True,False
20,600,1200,60,2.038735983690112,150.86654000000004,3.038735983690112,15.345422875669636,False,True,True,False
20,600,1200,80,1.529051987767584,150.53990000000005,2.529051987767584,15.110824255183836,False,True,True,False
20,600,1500,40,3.8226299694189603,150.70580000000004,4.82262996941896,16.30703192521869,False,True,True,False
20,600,1500,60,2.54841997961264,151.06175000000002,3.54841997961264,15.581636741970797,False,True,True,False
20,600,1500,80,1.9113149847094801,151.20254,2.91131498470948,15.286621624538087,False,True,True,False
20,700,1000,40,2.54841997961264,150.3150900000001,3.54841997961264,20.638599800789105,False,True,True,False
20,700,1000,60,1.6989466530750934,151.14820000000012,2.6989466530750934,20.19339601629698,False,True,True,False
20,700,1000,80,1.27420998980632,151.41807000000003,2.27420998980632,19.9723908786536,False,True,True,False
20,700,1200,40,3.058103975535168,150.83432000000008,4.058103975535168,20.907759495153467,False,True,True,False
20,700,1200,60,2.038735983690112,151.03835000000004,3.038735983690112,20.37096725728131,False,True,True,False
20,700,1200,80,1.529051987767584,150.16995,2.529051987767584,20.104865991223715,False,True,True,False
20,700,1500,40,3.8226299694189603,151.41654000000003,4.82262996941896,21.314353434299242,False,True,True,False
20,700,1500,60,2.54841997961264,151.68389000000005,3.54841997961264,20.638599800789105,False,True,True,False
20,700,1500,80,1.9113149847094801,151.87532000000004,2.91131498470948,20.304298222161933,False,True,True,False
25,500,1000,40,2.54841997961264,150.04150000000018,3.54841997961264,7.014724001970301,False,True,True,False
25,500,1000,60,1.6989466530750934,150.96189000000012,2.6989466530750934,7.014724001970301,False,True,True,False
25,500,1000,80,1.27420998980632,150.66305000000006,2.27420998980632,7.014724001970301,False,True,True,False
25,500,1200,40,3.058103975535168,150.28407000000013,4.058103975535168,7.014724001970301,False,True,True,False
25,500,1200,60,2.038735983690112,150.24820000000005,3.038735983690112,7.014724001970301,False,True,True,False
25,500,1200,80,1.529051987767584,151.45700000000002,2.529051987767584,7.014724001970301,False,True,True,False
25,500,1500,40,3.8226299694189603,150.89157000000006,4.82262996941896,7.014724001970301,False,True,True,False
25,500,1500,60,2.54841997961264,151.04182000000003,3.54841997961264,7.014724001970301,False,True,True,False
25,500,1500,80,1.9113149847094801,150.85729,2.91131498470948,7.014724001970301,False,True,True,False
25,600,1000,40,2.54841997961264,150.52304000000007,3.54841997961264,8.417927393379037,False,True,True,False
25,600,1000,60,1.6989466530750934,151.01974000000013,2.6989466530750934,8.417927393379037,False,True,True,False
25,600,1000,80,1.27420998980632,150.31175000000002,2.27420998980632,8.417927393379037,False,True,True,False
25,600,1200,40,3.058103975535168,151.0922500000001,4.058103975535168,8.417927393379037,False,True,True,False
25,600,1200,60,2.038735983690112,150.02032000000005,3.038735983690112,8.417927393379037,False,True,True,False
