handover_alt_km,handover_vel_ms,rocket_dv_ms,burn_time_s,tw_equiv,apogee_km,max_g,max_q_kPa,tr1_pass,tr2_pass,tr3_pass,all_pass
20,500,100,40,0.254841997961264,60.09929000000002,1.254841997961264,14.03169006998913,False,True,True,False
20,500,100,60,0.16989466530750935,71.09928999999987,1.1698946653075093,14.03169006998913,False,True,True,False
20,500,100,80,0.127420998980632,82.09929000000002,1.1698946653075093,14.03169006998913,True,True,True,True
20,500,200,40,0.509683995922528,68.72564000000006,1.5096839959225279,14.03169006998913,False,True,True,False
20,500,200,60,0.3397893306150187,80.72564000000025,1.3397893306150186,14.03169006998913,True,True,True,True
20,500,200,80,0.254841997961264,92.72564000000008,1.254841997961264,14.03169006998913,True,True,True,True
20,500,300,40,0.764525993883792,78.3709900000001,1.764525993883792,14.03169006998913,False,True,True,False
20,500,300,60,0.509683995922528,91.37099000000009,1.5096839959225279,14.03169006998913,True,True,True,True
20,500,300,80,0.382262996941896,104.37099000000012,1.382262996941896,14.03169006998913,False,True,True,False
20,500,500,40,1.27420998980632,100.71869000000018,2.27420998980632,14.03169006998913,False,True,True,False
20,500,500,60,0.8494733265375467,115.71869000000046,1.8494733265375467,14.03169006998913,False,True,True,False
20,500,500,80,0.63710499490316,130.7186900000002,1.63710499490316,14.03169006998913,False,True,True,False
20,500,700,40,1.783893985728848,127.14557000000032,2.783893985728848,14.03169006998913,False,True,True,False
20,500,700,60,1.1892626571525653,144.14557000000025,2.1892626571525655,14.03169006998913,False,True,True,False
20,500,700,80,0.891946992864424,161.1455700000003,1.891946992864424,14.03169006998913,False,True,True,False
20,500,1000,40,2.54841997961264,174.42932000000053,3.54841997961264,14.03169006998913,False,True,True,False
20,500,1000,60,1.6989466530750934,194.42932000000067,2.6989466530750934,14.03169006998913,False,True,True,False
20,500,1000,80,1.27420998980632,200.4405000000003,2.27420998980632,14.03169006998913,False,True,True,False
20,600,100,40,0.254841997961264,70.67564000000007,1.254841997961264,20.205633700784354,False,True,True,False
20,600,100,60,0.16989466530750935,83.67563999999985,1.2038735983690112,20.205633700784354,True,True,True,True
20,600,100,80,0.127420998980632,96.67564000000009,1.2038735983690112,20.205633700784354,True,True,True,True
20,600,200,40,0.509683995922528,80.32099000000011,1.5096839959225279,20.205633700784354,True,True,True,True
20,600,200,60,0.3397893306150187,94.32099000000036,1.3397893306150186,20.205633700784354,True,True,True,True
20,600,200,80,0.254841997961264,108.32099000000012,1.254841997961264,20.205633700784354,False,True,True,False
20,600,300,40,0.764525993883792,90.98534000000016,1.764525993883792,20.205633700784354,True,True,True,True
20,600,300,60,0.509683995922528,105.98534000000016,1.5096839959225279,20.205633700784354,False,True,True,False
20,600,300,80,0.382262996941896,120.98534000000016,1.382262996941896,20.205633700784354,False,True,True,False
20,600,500,40,1.27420998980632,115.37232000000026,2.27420998980632,20.205633700784354,False,True,True,False
